Name,RH57,RH1,RH58,RH27,RH24,RH54,RH56,RH2,RH40,RH41,RH9,RH30,RH25,RH55,RH12,RH32,RH43,RH16,RH50,RH18,RH51,RH37,RH42,RH64,RH49,RH20,RH33,RH46,T47be,T22,T34,T97be,T87be,T67be,T35,T95be,T63be,T55be,T81be,T89be,T68be,T86be,T41,T62be,T69be,T44be,T49be,T82be,T21,T93be,T46be,T73be,T36,T4,T14,T88be,T66be
Azelaic_acid,11903.30241,17742.86271,22394.25596,19423.44783,10465.10513,20505.66459,11681.06741,11043.16736,18363.0999,9493.572326,15613.6115,26995.99333,16415.22043,16888.32215,17812.49198,18146.90859,5762.777785,6836.831592,9847.979714,6738.457889,7697.664105,7620.002489,7243.137404,7619.131925,18420.43109,6874.151135,9295.215449,8477.849878,45901.91856,17256.426,6713.921177,50620.59843,64689.6002,22477.10059,4570.661959,14903.40652,5889.875643,10866.24591,16874.97576,101934.8206,9463.011904,217062.2763,21658.52694,12129.17102,21095.62866,12268.70311,11718.0929,12542.48339,67767.91527,17209.3318,41332.56001,21251.5185,5610.310735,13294.87171,46636.46963,11226.11034,14762.6036
Indoleacrylic_acid,53.60546695,60.39454475,58.59154514,253.0006134,278.1939442,267.5149667,969.4532356,183.6685873,30.9977155,56.01803208,157.3178195,116.3280824,78.09464513,37.73864337,12.84571851,57.46079277,5.125532021,22.79295714,38.25446149,,3.65614215,6.366099631,30.52202519,45.31876081,32.91473056,9.003683321,11.49621841,35.54057704,97.49955072,118.3512938,,94.28971215,59.18144825,240.9783549,,56.51399827,7.858641563,43.38904865,15.6392338,161.9190749,117.5300725,90.81083751,388.7718664,188.907611,26.54394081,55.75718108,252.3010259,40.2350378,61.86064214,26.14724171,39.11298005,272.7225415,15.27529468,20.92923964,36.50882541,36.62976628,29.85344777
3_Indolepropionic_acid,2111.912155,314.7762347,1397.709226,564.2330809,2183.110799,3277.732319,2619.98722,1571.809442,926.796815,1907.710443,4825.536347,2817.501346,672.9597595,783.0152773,2073.705386,539.4041605,,305.650747,682.9764686,,,217.9378928,454.5761962,640.0145147,1060.909512,111.47726,142.1223658,733.7372963,1296.39693,791.1630128,,4690.191602,2655.937274,1618.092246,,1359.212582,124.9184789,393.0698913,,361.9939938,3899.818219,832.2445459,3180.035878,3393.531309,2880.30904,1562.06234,523.9503302,986.5052294,574.2657213,2122.542438,342.0664992,1484.763795,115.2012628,1304.274342,1228.860615,262.2108338,589.56881
Lumichrome,9073.074742,4638.912613,5232.239962,22691.82962,5859.087921,7046.57522,4365.208491,6375.853073,7214.494589,8185.023059,4519.969584,7119.507515,32186.11885,3580.591951,1308.364552,6173.221923,2621.987601,3230.87896,2181.784857,5242.588035,5951.613812,2982.635615,2939.996672,3945.342637,6823.572053,1501.604759,1401.724323,1831.640047,43451.934,6357.252114,2048.624923,6089.858131,17510.75418,18970.71473,1170.699933,11257.12071,2226.716788,7129.856099,1390.76068,2751.878645,3047.164771,9110.476774,6663.563411,1886.079682,5102.321679,6637.775,26919.14513,6116.26768,12642.61975,4115.812434,8450.20567,35633.01926,968.8964871,4039.701614,4979.998942,2987.979785,4599.563893
Lipoamide,63.21727517,94.04675735,89.75792373,71.14214571,70.80634406,101.2904705,61.80298638,58.965034,,52.94910758,60.15935293,124.8109542,145.3220045,125.9801666,60.01366659,80.62244004,42.71526502,38.65957768,39.92296743,63.45455688,46.48225554,62.23978775,40.72577029,38.99678568,62.7123975,41.67321417,59.93337682,41.86965236,132.5399467,81.7328773,114.9795646,111.6112385,128.7727203,62.30993896,64.11355795,89.91989937,45.88987049,,95.11128863,169.2127379,47.18999681,123.7275771,56.40614043,68.33985511,76.16626998,91.06296934,69.71083483,67.31940299,233.2848257,95.04586506,58.0991081,115.155584,82.60625558,109.3298248,173.463457,,93.76045464
Hydrocinnamic_acid,4591.853449,9342.735237,2673.573725,21207.87641,25509.36809,18101.60257,6034.679338,5018.31236,28887.83983,3634.103303,2788.842823,,26152.86432,,9137.602723,28260.78248,6587.486346,8084.576652,9362.108385,33390.20364,,26792.70146,15541.44048,3903.799554,10943.42201,12153.08411,11396.63772,33761.034,29145.16269,16335.11149,28926.11584,250932.0308,28528.49904,28972.23802,171458.4219,29659.45188,,5652.821018,6136.606411,8349.939468,3141.730474,11185.47623,4015.038819,9257.2714,77197.25015,63981.40921,17800.48507,24212.74868,9789.920676,58825.77089,18909.10788,6082.179776,4495.886934,120911.0337,16594.39553,11728.00279,2529.326164
2_Phenylpropionic_acid,,8990.862647,,18747.72673,,,,4105.10577,12139.59733,,3853.980836,,18270.74714,,,29407.78522,,,10122.7015,,,18979.46367,20064.16612,,10167.31299,8361.515015,,28378.7464,25681.38649,8090.510028,,10400.3192,37846.41538,28200.54462,,29486.51273,,,,7222.202001,,8124.717683,,11449.20739,60802.62434,62911.13377,21511.52197,23165.3662,17362.76709,54030.39306,18903.68124,7582.5329,,2567.187503,18181.02167,,2805.36333
Equol,,,436.0174782,529.4323033,959.7153562,212.1010402,,,1499.931898,,,60.16604635,138.5766918,,,,,,345.0677481,,,828.1571901,,,,,,232.0800892,,606.3079185,,310.2871096,,839.8740271,,,,,,477.3624765,,,,,106.2069706,,,,,94.67849239,,,,,,,
Indole_3_methyl_acetate,30.75597279,16.60835973,13.3170376,21.22525324,57.71963551,28.63553649,39.13319646,17.83199611,,24.33529116,10.5847921,28.98464843,9.760604517,11.57807598,47.83655777,41.30126136,5.011028255,31.3178859,16.20161141,60.71696916,25.64727253,46.78052478,61.62470248,21.66887736,34.09700574,30.0972917,21.43180335,40.05317338,12.61404943,54.15709252,643.2679924,44.60239003,25.75458469,34.77074975,650.4883427,150.2465948,154.0714378,162.5712837,55.08653364,72.82538672,136.2339587,31.54820455,295.4741331,27.49677571,64.30422284,154.6820724,59.68898195,366.2161107,3.308239893,52.45912838,20.94991767,34.35276237,15.06375314,9.599051131,52.56809874,44.34172789,4.618860255
Sebacic_acid,5501.840438,11388.43647,5087.308194,13706.45082,2910.536762,8899.244564,3424.971622,9480.538932,6280.864814,,1966.651737,8754.641133,50052.67554,3369.802574,4512.668536,12020.60103,659.4537221,5389.957836,5580.784485,1568.375695,1919.706003,1611.313223,3630.090747,3572.06605,10434.61734,910.7172319,1056.441473,,14840.22093,5515.597048,1283.140542,12770.71723,43842.44592,17392.70531,527.5353625,4817.327564,600.9647719,13258.01639,4308.613604,93394.65618,7452.894826,64099.57871,4651.499815,2441.827342,8423.833362,3100.544248,25795.68161,2558.638957,67681.79531,10769.4003,10768.43316,7646.180164,1911.157325,5582.134699,27680.94308,3313.69029,5404.609399
