Species	NH13	NH16	NH17	NH23	NH25	NH30	NH34	NH36	NH46	NH5	NH50	NH53	NH61	NH65	NH69	NH71	NH73	NH75	NH76	NH77	RH1	RH10	RH11	RH12	RH13	RH14	RH15	RH16	RH17	RH18	RH19	RH2	RH20	RH21	RH22	RH23	RH24	RH25	RH26	RH27	RH28	RH29	RH3	RH30	RH31	RH32	RH33	RH34	RH35	RH36	RH37	RH39	RH4	RH40	RH41	RH42	RH43	RH44	RH45	RH46	RH47	RH48	RH49	RH5	RH50	RH51	RH52	RH53	RH54	RH55	RH56	RH57	RH58	RH6	RH63	RH64	RH7	RH8	RH9	T1	T10	T101AF	T102AF	T103AF	T104AF	T11	T12	T13	T13AF	T14	T15	T15AF	T16	T17	T18	T19	T2	T20	T21	T22	T23	T24	T24AF	T25	T26	T26AF	T27	T27AF	T28	T29	T29AF	T3	T30	T31	T32	T33	T34	T34AF	T35	T36	T37	T37AF	T38	T38AF	T39	T3AF	T4	T40	T40AF	T41	T42	T42AF	T43AF	T43be	T44be	T45AF	T45be	T46be	T47be	T48be	T49AF	T49be	T4AF	T5	T50AF	T50be	T51be	T53be	T54be	T55be	T56AF	T56be	T57AF	T57be	T58AF	T58be	T59AF	T59be	T6	T60be	T61AF	T61be	T62be	T63be	T64be	T65AF	T65be	T66be	T67be	T68be	T69AF	T69be	T7	T70be	T71AF	T71be	T72be	T73be	T74AF	T75AF	T77AF	T77be	T78AF	T79AF	T8	T80be	T81be	T82be	T83be	T85be	T86be	T87be	T88be	T89be	T9	T90be	T91be	T92be	T93be	T94be	T95be	T96be	T97be	T98be	T99be
Bifidobacteriaceae_bacterium_UBA2724	2.106	NA	2.151	2.683	5.507	1.87	1.6	NA	1.298	NA	1.895	5.493	2.048	3.21	2.763	2.056	3.324	2.362	2.785	1.249	4.16	NA	1.132	7.146	NA	NA	1.528	1.267	NA	8.069	1.565	3.143	2.516	NA	1.63	2.244	2.09	2.855	NA	8.029	2.485	NA	NA	15.883	50.059	16.719	11.218	NA	2.952	1.189	1.444	2.733	1.267	3.25	3.736	1.11	NA	1.513	1.115	3.08	1.085	3.594	1.367	1.72	8.697	9.523	1.261	NA	NA	1.061	3.33	NA	1.98	1.162	3.544	10.655	2.352	NA	11.506	NA	2.085	1.677	NA	1.243	2.351	NA	NA	1.793	2.897	NA	1.401	1.19	1.616	NA	NA	2.544	1.776	1.585	1.385	1.468	1.75	NA	NA	1.785	3.354	NA	1.479	1.956	1.339	NA	1.067	NA	NA	1.495	5.571	NA	2.624	2.075	1.251	2.493	NA	1.432	2.205	2.405	NA	2.907	NA	1.833	1.972	2.275	NA	NA	2.749	2.18	2.256	NA	NA	2.942	1.2	NA	1.089	1.442	NA	NA	1.704	1.464	2.244	NA	2.012	1.458	1.21	NA	1.449	1.985	1.243	1.692	4.754	2.486	NA	2.175	NA	NA	1.117	1.929	1.654	NA	3.35	1.954	4.532	1.409	3.139	2.466	2	3.275	NA	3.194	1.975	1.538	NA	NA	NA	1.116	NA	1.591	NA	NA	NA	4.208	5.115	2.132	2.197	1.591	1.201	3.609	1.743	NA	1.968	NA	1.259	NA	2.051	1.789	NA	2.976	NA
Bifidobacterium_adolescentis	5.327	NA	9.759	51.852	58.612	12.487	4.105	4.774	14.045	NA	5.606	48.677	34.459	79.258	NA	13.996	8.759	NA	13.488	3.161	53.541	5.549	18.361	151.47	5.991	7.798	5.56	18.19	NA	260.798	8	14.625	38.236	1.881	4.456	6.376	34.541	81.077	7.701	94.395	25.937	6.044	7.181	642.38	1985.684	668.366	420.862	9.281	NA	10.446	52.444	20.121	5.666	41.398	15.858	8.797	NA	5.967	24.188	29.539	3.163	20.806	2.934	17.922	320.52	205.903	4.703	NA	4.561	21.917	77.192	6.232	18.018	7.752	25.061	135.816	5.615	4.715	389.637	4.917	NA	NA	5.727	5.537	24.235	NA	NA	10.577	19.866	NA	NA	6.299	7.558	NA	NA	10.601	NA	NA	NA	NA	NA	NA	NA	5.422	26.689	NA	NA	NA	NA	NA	NA	6.966	NA	NA	155.845	5.469	27.808	25.702	NA	19.025	NA	NA	13.127	9.798	NA	25.045	NA	4.419	5.218	10.344	NA	NA	19.435	12.139	8.119	4.686	NA	NA	NA	NA	15.019	NA	NA	NA	5.249	3.153	5.584	6.359	6.914	6.454	5.596	NA	NA	NA	17.69	5.545	13.395	5.793	NA	5.007	NA	NA	8.098	13.712	NA	NA	NA	30.107	14.13	6.226	70.358	31.639	NA	NA	6.287	31.907	NA	6.34	3.774	NA	NA	NA	NA	NA	NA	NA	NA	41.049	81.608	NA	NA	10.11	NA	21.645	34.313	NA	5.003	NA	5.978	NA	10.532	5.906	NA	13.773	NA
Bifidobacterium_aesculapii	2.03	NA	2.272	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.919	NA	3.009	NA	NA	NA	15.018	1.137	NA	NA	NA	NA	1.875	NA	NA	NA	NA	2.23	NA	NA	NA	2.17	4.723	NA	NA	NA	NA	NA	2.984	NA	NA	NA	NA	1.686	NA	1.815	3.808	12.384	NA	NA	6.771	NA	NA	1.737	NA	6.42	NA	14.611	1.578	2.793	NA	NA	1.249	NA	NA	3.119	NA	NA	NA	1.237	16.755	NA	2.122	NA	34.565	NA	NA	NA	NA	NA	2.561	NA	NA	2.2	5.333	NA	NA	NA	1.686	NA	NA	2.632	NA	NA	NA	NA	NA	NA	NA	NA	8.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.487	NA	NA	NA	NA	2.688	2.448	NA	NA	NA	NA	1.696	5.527	NA	NA	NA	2.225	2.009	NA	NA	NA	NA	NA	1.534	NA	NA	NA	NA	NA	NA	NA	1.749	NA	NA	NA	NA	NA	1.639	NA	NA	NA	NA	NA	NA	NA	NA	2.269	NA	NA	2.648	NA	NA	NA	NA	NA	NA	2.293	NA	NA	NA	1.698	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.13	NA	NA	4.309	NA	NA	NA	1.211	NA	1.97	1.491	NA	3.036	NA
Bifidobacterium_angulatum	4.022	NA	6.631	12.638	35.78	8.298	NA	NA	8.949	NA	3.41	35.745	20.443	16.675	NA	10.172	5.822	NA	12.202	NA	33.373	4.452	5.857	66.512	4.157	7.083	4.892	11.023	NA	76.608	6.74	9.267	21.923	NA	NA	4.906	19.246	18.907	6.384	51.391	20.323	NA	6.24	127.991	417.479	151.379	84.19	7.436	NA	6.708	10.668	17.185	4.665	21.067	12.982	3.702	3.552	4.115	14.378	19.083	2.186	18.593	2.509	6.334	70.247	114.15	4.143	3.938	3.541	13.563	43.275	4.435	11.449	5.51	22.347	81.553	4.723	NA	82.217	NA	NA	NA	4.654	NA	7.84	NA	NA	7.825	13.468	NA	NA	5.199	6.101	NA	NA	6.905	NA	NA	NA	NA	NA	NA	NA	4.661	18.065	NA	NA	NA	NA	NA	NA	5.068	NA	NA	47.742	4.813	16.085	14.13	NA	13.638	NA	NA	8.595	6.646	NA	15.868	NA	NA	4.429	9.356	NA	NA	6.7	4.915	5.509	4.072	NA	NA	NA	NA	11.6	NA	NA	NA	NA	2.886	NA	5.223	5.976	4.395	4.981	NA	NA	NA	12.421	NA	8.728	NA	NA	4.214	NA	NA	6.391	9.517	NA	NA	NA	17.891	9.862	NA	16.994	10.338	NA	NA	NA	9.659	NA	5.344	NA	NA	NA	NA	NA	NA	NA	NA	NA	26.054	46.044	4.642	NA	6.656	NA	14.065	25.032	NA	NA	NA	5.683	NA	6.817	4.416	NA	9.013	NA
Bifidobacterium_animalis	5.187	5.656	6.788	7.283	18.303	7.283	4.607	4.776	6.731	3.422	4.784	18.945	11.206	8.632	5.226	7.714	7.065	4.571	7.685	3.806	15.726	4.847	4.524	29.404	3.848	7.739	5.895	7.04	3.939	29.211	7.224	7.029	11.673	NA	5.278	5.998	9.887	9.063	6.425	27.508	12.13	NA	4.962	42.592	157.159	55.588	30.396	6.974	6.012	5.354	4.993	9.866	5.613	10.626	9.727	3.734	NA	4.056	6.868	11.729	2.661	10.564	2.891	5.393	30.299	50.134	5.06	4.301	NA	6.825	19.593	3.697	7.02	5.531	11.96	39.387	6.735	4.252	33.985	4.201	6.375	4.507	NA	6.158	7.41	4.68	NA	6.991	10.095	5.44	6.966	6.15	6.758	5.907	4.774	7.19	6.298	6.147	4.529	5.997	5.935	5.991	4.689	6.144	11.643	6.319	4.989	7.225	4.871	5.164	4.249	4.551	NA	5.189	22.895	4.832	12.302	9.693	5.36	9.253	4.143	4.948	7.461	7.027	5.407	12.482	NA	5.599	6.07	7.881	4.016	4.828	6.927	5.499	6.147	4.492	5.275	5.6	4.447	4.984	11.308	5.556	5.014	3.209	6.029	3.98	6.852	5.723	7.794	5.236	6.211	3.989	5.723	4.555	9.846	6.138	10.804	7.693	5.125	6.037	5.806	5.254	7.244	8.29	8.629	4.591	9.159	10.285	10.536	6.269	10.635	8.018	6.472	9.007	NA	7.711	5.629	6.539	3.847	4.626	4.37	4.364	4.892	6.502	5.467	NA	NA	16.211	23.047	6.687	6.023	6.264	4.25	10.643	9.07	5.753	6.028	5.268	6.114	NA	6.652	5.407	5.762	9.07	4.869
Bifidobacterium_anseris	NA	NA	2.278	3.62	9.933	2.965	NA	NA	2.668	NA	NA	9.613	4.743	4.349	NA	3.282	NA	NA	3.768	NA	7.883	NA	NA	15.526	NA	NA	NA	2.819	NA	16.523	NA	2.429	4.924	NA	NA	NA	4.421	4.993	NA	10.831	5.974	NA	2.585	29.928	105.528	33.858	19.59	NA	NA	1.75	2.978	5.452	NA	4.667	4.108	NA	NA	NA	3.283	4.893	NA	5.653	NA	2.072	19.132	23.106	NA	NA	NA	2.993	8.79	NA	3.092	NA	6.704	23.756	NA	NA	22.239	NA	NA	NA	NA	NA	2.797	NA	NA	2.335	4.249	NA	NA	NA	NA	NA	NA	2.152	NA	NA	NA	NA	NA	NA	NA	NA	5.131	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.634	NA	4.702	4.091	NA	4.006	NA	NA	2.49	NA	NA	4.469	NA	NA	NA	2.992	NA	NA	2.287	NA	NA	NA	NA	NA	NA	NA	4.212	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.204	NA	3.258	NA	NA	NA	NA	NA	NA	3.454	NA	NA	NA	4.267	3.887	NA	5.294	3.373	NA	NA	NA	2.93	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.48	9.979	NA	NA	2.363	NA	3.77	3.75	NA	NA	NA	NA	NA	NA	NA	NA	3.153	NA
Bifidobacterium_bifidum	2.893	NA	4.233	22.175	28.161	5.574	NA	NA	5.594	2.474	NA	32.408	12.572	9.392	NA	17.692	3.553	NA	13.032	NA	23.921	3.137	3.506	44.064	2.644	NA	4.027	5.947	NA	46.093	NA	5.51	11.745	NA	NA	3.687	11.234	11.207	4.431	26.101	17.66	NA	5.886	69.078	505.956	79.658	43.042	5.521	NA	4.408	5.733	18.868	NA	11.995	10.898	2.534	NA	2.901	7.915	11.648	NA	19.961	2.297	4.245	86.393	65.937	3.472	NA	2.593	10.706	23.931	2.882	7.876	3.808	23.229	304.586	NA	NA	117.128	NA	NA	NA	NA	NA	4.835	NA	NA	5.31	9.365	NA	NA	NA	4.254	NA	NA	4.293	NA	NA	NA	NA	NA	NA	NA	NA	13.997	NA	NA	NA	NA	NA	NA	3.072	NA	NA	57.429	NA	10.305	8.941	NA	10.647	NA	NA	5.415	4.204	NA	9.436	NA	NA	NA	8.562	2.903	NA	4.472	3.269	3.592	NA	NA	NA	NA	NA	8.35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.38	NA	5.767	NA	NA	NA	NA	NA	NA	6.069	NA	NA	NA	10.126	16.007	NA	10.793	6.621	NA	NA	NA	5.784	NA	4.041	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.098	26.22	NA	NA	4.468	NA	9.464	9.694	NA	NA	NA	4.08	NA	4.556	NA	NA	5.982	NA
Bifidobacterium_bifidum_CAG:234	NA	NA	NA	19.159	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.157	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.215	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.917	NA	NA	NA	NA	444.203	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.933	NA	NA	NA	NA	NA	73.47	39.528	NA	NA	NA	6.918	13.605	NA	NA	NA	17.379	283.992	NA	NA	104.553	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	47.085	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.171	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.659	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bifidobacterium_breve	2.39	NA	3.155	6.867	43.762	4.829	NA	NA	4.306	NA	NA	74.038	15.464	9.452	NA	11.138	2.909	NA	36.791	NA	40.31	3.02	2.942	75.538	2.125	NA	4.715	5.369	NA	42.65	NA	4.939	13.242	NA	NA	3.643	10.002	13.08	3.282	26.045	40.252	NA	9.295	80.166	263.513	92.26	45.115	6.498	NA	4.367	4.809	45.832	NA	10.521	20.133	NA	NA	3.338	7.609	15.942	NA	52.905	3.765	5.204	46.466	74.537	3.231	NA	2.74	6.842	22.007	2.149	12.317	2.86	59.254	57.596	2.658	NA	49.334	NA	NA	NA	NA	NA	3.492	NA	NA	5.802	13.582	NA	NA	2.897	3.919	NA	NA	3.444	NA	NA	NA	NA	NA	NA	NA	NA	25.699	NA	NA	NA	NA	NA	NA	NA	NA	NA	42.923	NA	8.526	7.621	NA	19.019	NA	NA	5.606	3.331	NA	7.645	NA	NA	NA	19.036	NA	NA	4.543	3.126	2.705	NA	NA	NA	NA	NA	5.525	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.889	NA	4.234	NA	NA	NA	NA	NA	NA	4.459	NA	NA	NA	8.679	5.663	NA	11.283	6.141	NA	NA	NA	4.991	NA	4.083	NA	NA	NA	NA	NA	NA	NA	NA	NA	34.906	22.584	NA	NA	3.424	NA	13.135	10.181	NA	NA	NA	4.075	NA	3.576	NA	NA	4.485	NA
Bifidobacterium_catenulatum	2.93	NA	4.674	14.056	36.251	18.033	NA	NA	7.422	NA	2.021	68.361	71.732	20.349	NA	20.594	14.785	NA	8.89	NA	106.648	3.636	6.15	190.009	8.491	NA	2.543	36.028	NA	248.234	5.24	25.835	83.195	NA	1.856	6.626	77.812	26.016	5.218	216.384	28.311	NA	3.736	221.654	668.384	273.141	138.742	6.76	NA	15.721	13.334	12.799	3.776	97.745	17.622	3.17	NA	9.35	50.572	56.62	3.645	13.684	2.016	7.287	96.448	464.9	2.327	NA	2.019	44.483	172.575	9.069	31.455	9.391	13.81	275.349	4.089	NA	102.594	NA	NA	NA	2.248	2.784	6.202	NA	NA	13.124	33.042	NA	2.713	4.177	6.106	2.316	NA	17.175	NA	NA	NA	NA	NA	NA	2.098	3.182	45.52	2.65	NA	NA	NA	NA	NA	8.108	NA	NA	84.334	2.377	14.091	13.846	NA	28.082	NA	NA	21.264	15.356	NA	44.754	NA	NA	NA	5.279	NA	NA	5.996	5.501	12.217	2.59	NA	NA	NA	2.225	5.607	NA	NA	NA	NA	NA	3.095	4.32	4.23	2.104	2.145	NA	NA	NA	24.983	2.279	22.348	2.947	NA	3.956	NA	NA	3.524	22.475	NA	NA	2.547	63.382	16.545	2.836	18.455	18.058	NA	2.509	NA	10.465	NA	3.587	2.121	NA	NA	NA	NA	3.304	NA	NA	NA	68.874	187.301	NA	NA	8.65	NA	34.785	102.979	2.253	2.605	2.303	2.326	NA	17.066	7.258	NA	21.867	NA
Bifidobacterium_choerinum	NA	NA	2.196	3.862	10.945	NA	NA	NA	2.838	NA	NA	11.554	4.985	4.614	NA	3.262	NA	NA	4.24	NA	8.402	NA	NA	16.984	NA	NA	NA	2.835	NA	17.529	NA	2.479	4.99	NA	NA	NA	4.291	5.265	NA	11.085	6.7	NA	2.66	32.773	115.676	36.206	20.694	NA	NA	NA	3.033	6.07	NA	4.624	4.204	NA	NA	NA	3.155	4.79	NA	6.535	NA	1.968	20.195	24.458	NA	NA	NA	3.129	9.198	NA	3.188	NA	8.14	25.557	NA	NA	23.92	NA	NA	NA	NA	NA	2.484	NA	NA	NA	3.817	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.121	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.383	NA	5.172	4.393	NA	3.957	NA	NA	2.462	NA	NA	4.245	NA	NA	NA	3.429	NA	NA	2.184	NA	NA	NA	NA	NA	NA	NA	4.229	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.721	NA	2.552	NA	NA	NA	NA	NA	NA	2.694	NA	NA	NA	4.156	3.326	NA	4.936	3.032	NA	NA	NA	2.973	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.245	9.793	NA	NA	2.121	NA	3.886	4.048	NA	NA	NA	NA	NA	NA	NA	NA	2.612	NA
Bifidobacterium_eulemuris	NA	NA	2.277	4.778	17.623	2.685	NA	NA	3.213	NA	NA	18.76	6.682	5.944	NA	4.169	1.761	NA	7.512	NA	13.526	NA	1.851	26.83	NA	NA	1.91	3.182	NA	24.928	NA	2.654	6.625	NA	NA	1.745	5.798	6.89	NA	15.412	9.888	NA	3.406	46.632	160.942	51.133	28.825	2.514	NA	2.111	3.747	10.819	NA	6.558	5.922	NA	NA	1.514	4.209	6.501	NA	11.977	NA	2.374	27.18	35.611	NA	NA	NA	3.985	12.716	NA	4.498	NA	14.035	34.131	NA	NA	31.56	NA	NA	NA	NA	NA	2.501	NA	NA	2.498	5.189	NA	NA	NA	NA	NA	NA	2.033	NA	NA	NA	NA	NA	NA	NA	NA	7.92	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.739	NA	5.824	5.46	NA	5.828	NA	NA	2.603	2.166	NA	4.596	NA	NA	NA	4.821	NA	NA	2.343	1.639	NA	NA	NA	NA	NA	NA	3.411	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.104	NA	2.835	NA	NA	NA	NA	NA	NA	2.992	NA	NA	NA	5.013	3.583	NA	6.464	3.707	NA	NA	NA	3.122	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.957	13.586	NA	NA	2.344	NA	5.105	5.141	NA	NA	NA	NA	NA	2.142	NA	NA	2.77	NA
Bifidobacterium_imperatoris	1.52	NA	2.019	4.317	20.181	2.822	NA	NA	2.832	NA	NA	28.405	7.598	NA	NA	5.264	1.976	NA	12.015	NA	18.492	NA	1.696	34.52	NA	NA	2.344	3.628	NA	24.822	2.602	2.891	7.546	NA	NA	2.023	6.122	NA	NA	17.444	14.78	NA	3.983	44.822	147.417	49.211	25.428	3.121	NA	2.333	3.179	16.644	NA	6.747	8.037	NA	NA	1.83	4.254	7.967	NA	20.108	1.548	2.632	25.194	39.612	NA	NA	NA	3.944	13.128	NA	5.86	2.034	23.338	32.096	NA	NA	27.875	NA	NA	NA	NA	NA	2.532	NA	NA	2.826	NA	NA	NA	2.389	2.248	NA	NA	2.297	NA	NA	NA	NA	NA	NA	NA	NA	10.532	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.622	NA	5.008	4.528	NA	7.766	NA	NA	2.866	2.081	NA	4.756	NA	NA	NA	7.475	NA	NA	2.653	1.921	1.762	NA	NA	NA	NA	NA	3.027	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.622	NA	2.872	NA	NA	NA	NA	NA	NA	2.93	NA	NA	NA	5.36	3.424	NA	6.05	3.471	NA	NA	NA	3.101	NA	2.246	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.76	13.87	NA	NA	2.405	NA	6.536	5.725	NA	NA	NA	2.526	NA	2.634	NA	NA	3.047	NA
Bifidobacterium_italicum	NA	NA	3.05	4.144	10.958	3.728	NA	NA	3.611	NA	NA	10.796	5.769	4.979	NA	4.036	NA	NA	4.489	NA	8.638	NA	2.47	17.049	NA	NA	NA	3.739	NA	17.324	NA	3.366	5.732	NA	NA	NA	4.987	5.658	NA	12.029	7.066	NA	3.289	NA	109.008	35.454	20.314	3.898	NA	2.705	3.326	6.317	NA	5.026	4.839	NA	NA	NA	3.618	5.64	NA	6.581	NA	2.582	NA	25.324	NA	NA	NA	3.594	9.694	NA	3.664	NA	7.724	25.476	NA	NA	23.779	NA	NA	NA	NA	NA	3.531	NA	NA	3.573	4.941	NA	NA	NA	NA	NA	NA	2.876	NA	NA	NA	NA	NA	NA	NA	NA	5.818	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.029	NA	6.471	5.262	NA	4.688	NA	NA	3.419	2.881	NA	5.87	NA	NA	NA	4.208	NA	NA	2.978	NA	NA	NA	NA	NA	NA	NA	6.359	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.488	NA	3.701	NA	NA	NA	NA	NA	NA	3.934	NA	NA	NA	5.03	4.664	NA	5.814	3.939	NA	NA	NA	3.745	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.25	10.79	NA	NA	2.953	NA	4.657	4.459	NA	NA	NA	NA	NA	2.948	NA	NA	3.767	NA
Bifidobacterium_kashiwanohense	5.245	NA	8.011	16.045	45.91	20.759	3.293	4.16	11.529	3.377	4.109	74.267	74.829	22.77	2.95	23.179	16.67	3.655	14.364	3.138	112.476	6.358	8.261	193.754	10.155	7.573	5.577	37.897	4.146	248.344	9.317	28.468	85.017	NA	4.534	8.674	77.121	28.483	8.852	215.675	35.762	5.414	6.527	225.179	703.808	283.348	140.396	11.141	4.863	18.286	15.237	18.356	6.854	93.967	22.597	4.747	3.414	10.419	51.491	59.296	4.517	19.13	2.976	9.419	105.921	465.882	4.487	4.454	4.353	46.109	173.121	10.539	34.412	11.952	21.833	273.744	7.003	4.324	110.089	4.098	NA	3.437	5.193	5.806	9.479	NA	NA	16.538	36.79	NA	6.132	7.541	9.855	6.108	NA	19.433	5.327	NA	NA	4.95	4.709	NA	4.416	6.022	48.816	5.25	4.016	5.693	3.961	4.461	3.818	10.56	NA	4.227	91.831	5.684	21.871	19.873	4.719	32.261	NA	4.255	23.905	17.713	NA	48.781	NA	4.176	4.754	9.244	3.871	5.055	8.673	7.673	14.157	5.113	4.913	NA	NA	5.094	12.896	4.405	4.398	NA	4.828	NA	5.982	7.806	7.731	5.035	5.488	3.873	4.977	3.714	30.755	5.564	24.81	6.18	NA	5.899	4.975	NA	7.519	25.261	7.429	4.109	5.818	65.256	20.44	6.488	22.461	21.068	NA	5.909	5.619	13.72	4.128	7.167	4.427	NA	NA	3.954	NA	5.713	NA	5.014	4.895	73.374	190.799	4.897	4.31	11.552	3.528	37.612	94.275	5.287	5.289	5.225	5.683	NA	19.456	9.24	NA	24.702	4.414
Bifidobacterium_lemurum	NA	NA	1.775	4.392	16.628	1.962	NA	NA	2.749	NA	NA	17.644	5.941	5.504	NA	3.59	NA	NA	7.097	NA	12.568	NA	1.507	25.073	NA	NA	NA	2.712	NA	NA	NA	2.189	NA	NA	NA	NA	5.039	6.374	NA	13.686	8.903	NA	3.064	45.416	154.86	48.384	NA	1.944	NA	1.73	3.402	10.05	NA	5.858	5.258	NA	NA	NA	3.613	5.642	NA	11.492	NA	1.981	25.301	32.23	NA	NA	NA	3.507	11.443	NA	3.892	NA	13.526	31.474	NA	NA	29.863	NA	NA	NA	NA	NA	1.904	NA	NA	2.009	4.291	NA	NA	NA	NA	NA	NA	1.544	NA	NA	NA	NA	NA	NA	NA	NA	7.004	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.337	NA	5.084	4.817	NA	5.136	NA	NA	2.11	1.522	NA	3.668	NA	NA	NA	4.328	NA	NA	1.872	NA	NA	NA	NA	NA	NA	NA	2.592	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.615	NA	2.004	NA	NA	NA	NA	NA	NA	2.13	NA	NA	NA	4.304	2.751	NA	5.743	3.143	NA	NA	NA	2.539	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.773	11.823	NA	NA	1.805	NA	4.428	4.579	NA	NA	NA	NA	NA	1.593	NA	NA	2.062	NA
Bifidobacterium_longum	4.781	NA	5.133	11.569	116.571	9.446	NA	3.507	7.009	NA	NA	215.843	30.171	18.99	NA	26.561	4.512	NA	102.056	3.313	107.773	6.526	5.026	191.463	3.522	NA	12.554	7.73	3.803	61.122	5.779	7.676	20.912	NA	5.056	8.581	13.428	27.456	6.98	35.97	111.424	NA	27.064	164.602	524.958	166.396	69.407	16.211	5.195	8.686	7.383	135.747	4.483	15.321	58.064	2.946	NA	7.606	11.989	35.342	1.805	155.059	10.694	12.606	90.9	119.013	7.796	NA	6.801	10.653	30.203	3.855	29.51	5.045	186.45	87.89	5.602	NA	89.787	NA	NA	NA	4.204	NA	5.951	NA	NA	13.674	35.542	NA	NA	5.904	8.737	NA	NA	5.377	NA	NA	NA	4.282	NA	NA	NA	5.013	69.318	4.775	NA	NA	NA	NA	4.577	3.967	NA	NA	102.475	NA	12.814	10.697	NA	52.052	NA	NA	10.391	5.216	NA	12.207	NA	NA	NA	53.991	NA	NA	10.128	6.635	4.388	NA	NA	NA	NA	NA	9.622	NA	NA	NA	NA	NA	NA	4.623	4.641	NA	NA	NA	NA	NA	9.953	NA	7.041	NA	NA	3.696	NA	NA	5.707	7.131	NA	NA	NA	12.496	9.012	5.355	23.809	11.569	NA	NA	NA	9.221	NA	9.497	NA	NA	NA	NA	4.25	NA	NA	NA	4.342	90.804	32.073	NA	NA	5.171	NA	30.388	14.634	NA	NA	NA	10.001	NA	6.252	3.576	NA	6.907	3.83
